date,firm,Ticker,Research_Development,Income_Before_Tax,Net_Income,Selling_General_Administrative,Gross_Profit,Ebit,Operating_Income,Interest_Expense,Income_Tax_Expense,Total_Revenue,Total_Operating_Expenses,Cost_Of_Revenue,Total_Other_Income_Expense_Net,Net_Income_From_Continuing_Ops,Net_Income_Applicable_To_Common_Shares
2021-09-30,3M,MMM,482000000,1761000000,1434000000,1739000000,4089000000,1868000000,1868000000,-117000000,324000000,8942000000,7074000000,4853000000,-107000000,1437000000,1434000000
2021-06-30,3M,MMM,514000000,1940000000,1524000000,1666000000,4231000000,2051000000,2051000000,-121000000,415000000,8950000000,6899000000,4719000000,-111000000,1525000000,1524000000
2021-03-31,3M,MMM,520000000,1946000000,1624000000,1720000000,4327000000,2087000000,2087000000,-132000000,319000000,8851000000,6764000000,4524000000,-141000000,1627000000,1624000000
2020-12-31,3M,MMM,449000000,1706000000,1389000000,1814000000,4246000000,1983000000,1983000000,-141000000,316000000,8583000000,6600000000,4337000000,-277000000,1390000000,1389000000
2021-09-30,3M,MMM,482000000,1761000000,1434000000,1739000000,4089000000,1868000000,1868000000,-117000000,324000000,8942000000,7074000000,4853000000,-107000000,1437000000,1434000000
2021-06-30,3M,MMM,514000000,1940000000,1524000000,1666000000,4231000000,2051000000,2051000000,-121000000,415000000,8950000000,6899000000,4719000000,-111000000,1525000000,1524000000
2021-03-31,3M,MMM,520000000,1946000000,1624000000,1720000000,4327000000,2087000000,2087000000,-132000000,319000000,8851000000,6764000000,4524000000,-141000000,1627000000,1624000000
2020-12-31,3M,MMM,449000000,1706000000,1389000000,1814000000,4246000000,1983000000,1983000000,-141000000,316000000,8583000000,6600000000,4337000000,-277000000,1390000000,1389000000
2021-09-30,"A. O. Smith",AOS,0,166400000,131600000,174300000,340300000,166000000,166000000,-1000000,34800000,914600000,748600000,574300000,400000,131600000,131600000
2021-06-30,"A. O. Smith",AOS,0,151300000,118200000,169800000,321400000,151600000,151600000,-900000,33100000,859800000,708200000,538400000,-300000,118200000,118200000
2021-03-31,"A. O. Smith",AOS,0,126100000,97700000,166500000,288600000,122100000,122100000,-1000000,28400000,769000000,646900000,480400000,4000000,97700000,97700000
2020-12-31,"A. O. Smith",AOS,0,151900000,120000000,184700000,324100000,139400000,139400000,-1000000,31900000,834500000,695100000,510400000,12500000,120000000,120000000
2021-09-30,Abiomed,ABMD,41041000,67271000,56953000,102779000,204256000,60436000,60436000,0,10318000,248142000,187706000,43886000,6835000,56953000,56953000
2021-06-30,Abiomed,ABMD,36837000,-9350000,-26525000,103484000,207397000,67076000,67076000,0,17175000,252585000,185509000,45188000,-76426000,-26525000,-26525000
2021-03-31,Abiomed,ABMD,32599000,73494000,56856000,100374000,195167000,62194000,62194000,0,16638000,241245000,179051000,46078000,11300000,56856000,56856000
2020-12-31,Abiomed,ABMD,32105000,80735000,61868000,86198000,190553000,72250000,72250000,0,18867000,231663000,159413000,41110000,8485000,61868000,61868000
2021-02-28,Accenture,ACN,0,1762443000,1440859000,1941717000,3595232000,1653515000,1653515000,-8922000,300950000,12088125000,10434610000,8492893000,108928000,1461493000,1440859000
2020-11-30,Accenture,ACN,0,1986867000,1500276000,2007627000,3898296000,1890669000,1890669000,-8854000,464810000,11762185000,9871516000,7863889000,96198000,1522057000,1500276000
2021-09-30,"Activision Blizzard",ATVI,329000000,759000000,639000000,387000000,1543000000,827000000,827000000,-27000000,120000000,2070000000,1243000000,527000000,-68000000,639000000,639000000
2021-06-30,"Activision Blizzard",ATVI,335000000,1002000000,876000000,434000000,1741000000,972000000,972000000,-27000000,126000000,2296000000,1324000000,555000000,30000000,876000000,876000000
2021-03-31,"Activision Blizzard",ATVI,353000000,765000000,619000000,519000000,1697000000,825000000,825000000,-28000000,146000000,2275000000,1450000000,578000000,-60000000,619000000,619000000
2020-12-31,"Activision Blizzard",ATVI,348000000,563000000,509000000,597000000,1595000000,650000000,650000000,-27000000,54000000,2412000000,1762000000,817000000,-87000000,509000000,509000000
2021-09-30,ADM,ADM,0,653000000,526000000,716000000,1326000000,607000000,607000000,-61000000,120000000,20340000000,19733000000,19014000000,46000000,533000000,526000000
2021-06-30,ADM,ADM,0,825000000,712000000,815000000,1463000000,642000000,642000000,-40000000,113000000,22926000000,22284000000,21463000000,183000000,712000000,712000000
2021-03-31,ADM,ADM,0,824000000,689000000,697000000,1548000000,843000000,843000000,-87000000,131000000,18893000000,18050000000,17345000000,-19000000,693000000,689000000
2020-12-31,ADM,ADM,0,756000000,687000000,720000000,1352000000,615000000,615000000,-69000000,63000000,17978000000,17363000000,16626000000,141000000,693000000,687000000
2021-09-03,Adobe,ADBE,651000000,1418000000,1212000000,1333000000,3468000000,1441000000,1441000000,-27000000,206000000,3935000000,2494000000,467000000,-23000000,1212000000,1212000000
2021-06-04,Adobe,ADBE,612000000,1386000000,1116000000,1329000000,3391000000,1406000000,1406000000,-28000000,270000000,3835000000,2429000000,444000000,-20000000,1116000000,1116000000
2021-03-05,Adobe,ADBE,620000000,1433000000,1261000000,1339000000,3458000000,1454000000,1454000000,-30000000,172000000,3905000000,2451000000,447000000,-21000000,1261000000,1261000000
2021-07-17,"Advance Auto Parts",AAP,0,237765000,178696000,932793000,1189416000,256623000,256623000,-8306000,59069000,2649415000,2392792000,1459999000,-18858000,178696000,178696000
2021-07-17,"Advance Auto Parts",AAP,0,237765000,178696000,932793000,1189416000,256623000,256623000,-8306000,0,2649415000,0,0,0,178696000,178696000
2021-04-24,"Advance Auto Parts",AAP,0,245774000,185930000,1200138000,1487229000,287091000,287091000,-11191000,59844000,3330370000,3043279000,1843141000,-41317000,185930000,185930000
2021-04-17,"Advance Auto Parts",AAP,0,245774000,182313000,1200138000,1338322500,271856500,287091000,-9748500,0,2989892500,0,0,0,185930000,185930000
2021-09-25,"Advanced Micro Devices",AMD,765000000,1005000000,923000000,368000000,2086000000,956000000,956000000,-7000000,82000000,4313000000,3357000000,2227000000,49000000,923000000,923000000
2021-06-26,"Advanced Micro Devices",AMD,659000000,823000000,710000000,331000000,1830000000,841000000,841000000,-10000000,113000000,3850000000,3009000000,2020000000,-18000000,710000000,710000000
2021-03-27,"Advanced Micro Devices",AMD,610000000,644000000,555000000,304000000,1587000000,677000000,677000000,-9000000,89000000,3445000000,2768000000,1858000000,-33000000,555000000,555000000
2020-12-26,"Advanced Micro Devices",AMD,573000000,549000000,1781000000,308000000,1451000000,570000000,570000000,-9000000,-1232000000,3244000000,2674000000,1793000000,-21000000,1781000000,1781000000
2021-09-30,"AES Corp",AES,0,611000000,343000000,39000000,760000000,721000000,721000000,-242000000,126000000,3036000000,2315000000,2276000000,-110000000,485000000,343000000
2021-06-30,"AES Corp",AES,0,-140000000,28000000,45000000,728000000,683000000,683000000,-237000000,-59000000,2700000000,2017000000,1972000000,-823000000,-81000000,28000000
2021-03-31,"AES Corp",AES,0,-21000000,-148000000,46000000,664000000,618000000,618000000,-190000000,8000000,2635000000,2017000000,1971000000,-639000000,-29000000,-148000000
2020-12-31,"AES Corp",AES,0,562000000,318000000,47000000,724000000,677000000,677000000,-297000000,161000000,2560000000,1883000000,1836000000,-115000000,401000000,318000000
2021-09-30,Aflac,AFL,0,1113000000,888000000,869000000,2039000000,1170000000,1170000000,-57000000,225000000,5237000000,4067000000,3198000000,-57000000,888000000,888000000
2021-06-30,Aflac,AFL,0,1373000000,1105000000,881000000,2316000000,1435000000,1435000000,-62000000,268000000,5564000000,4129000000,3248000000,-62000000,1105000000,1105000000
2021-03-31,Aflac,AFL,0,1603000000,1293000000,832000000,2497000000,1665000000,1665000000,-62000000,310000000,5869000000,4204000000,3372000000,-62000000,1293000000,1293000000
2020-12-31,Aflac,AFL,0,1217000000,952000000,1038000000,2316000000,1278000000,1278000000,-61000000,265000000,5913000000,4635000000,3597000000,-61000000,952000000,952000000
2021-07-31,"Agilent Technologies",A,113000000,327000000,264000000,390000000,852000000,349000000,349000000,-21000000,63000000,1586000000,1237000000,734000000,-22000000,264000000,264000000
2021-04-30,"Agilent Technologies",A,109000000,273000000,216000000,420000000,817000000,288000000,288000000,-20000000,57000000,1525000000,1237000000,708000000,-15000000,216000000,216000000
2021-01-31,"Agilent Technologies",A,103000000,312000000,288000000,398000000,838000000,337000000,337000000,-19000000,24000000,1548000000,1211000000,710000000,-25000000,288000000,288000000
2020-10-31,"Agilent Technologies",A,102000000,283000000,222000000,342000000,788000000,344000000,344000000,-19000000,61000000,1483000000,1139000000,695000000,-61000000,222000000,222000000
2021-09-30,"Air Products & Chemicals",APD,25700000,692300000,610400000,202100000,834800000,616700000,616700000,-33400000,125300000,2841100000,2224400000,2006300000,75600000,567000000,610400000
2021-06-30,"Air Products & Chemicals",APD,23200000,625800000,533600000,192600000,802800000,598400000,598400000,-35600000,101700000,2604700000,2006300000,1801900000,27400000,524100000,533600000
2021-03-31,"Air Products & Chemicals",APD,21100000,599000000,473100000,189100000,756500000,555800000,555800000,-36100000,121900000,2502000000,1946200000,1745500000,43200000,477100000,473100000
2020-12-31,"Air Products & Chemicals",APD,23500000,590300000,482000000,182100000,742800000,562500000,562500000,-36700000,113900000,2375200000,1812700000,1632400000,27800000,476400000,482000000
2021-09-30,"Akamai Technologies",AKAM,82899000,192564000,178916000,241463000,543467000,207146000,207146000,-18144000,13648000,860333000,653187000,316866000,-14582000,178916000,178916000
2021-06-30,"Akamai Technologies",AKAM,77255000,174506000,156497000,246049000,532824000,197460000,197460000,-18037000,18009000,852824000,655364000,320000000,-22954000,156497000,156497000
2021-03-31,"Akamai Technologies",AKAM,82045000,167593000,155695000,253005000,536021000,189544000,189544000,-17834000,11898000,842708000,653164000,306687000,-21951000,155695000,155695000
2020-12-31,"Akamai Technologies",AKAM,67228000,117528000,113370000,298739000,542440000,165579000,165579000,-17342000,4158000,846287000,680708000,303847000,-48051000,113370000,113370000
2021-09-30,"Alaska Air Group",ALB,13289000,-489103000,-392781000,95699000,249273000,140285000,140285000,-5136000,-114670000,830566000,690281000,581293000,-629388000,-374433000,-392781000
2021-06-30,"Alaska Air Group",ALB,13976000,553193000,424600000,113393000,248417000,121048000,121048000,-5952000,106985000,773896000,652848000,525479000,432145000,446208000,424600000
2021-03-31,"Alaska Air Group",ALB,14636000,139805000,95677000,85589000,263687000,163462000,163462000,-16084000,22107000,829291000,665829000,565604000,-23657000,117698000,95677000
2020-12-31,"Alaska Air Group",ALB,15375000,92076000,84635000,115008000,266720000,136337000,136337000,-19152000,-10101000,879147000,742810000,612427000,-44261000,102177000,84635000
2021-09-30,"Albemarle Corporation",ALK,0,245000000,194000000,49000000,562000000,257000000,257000000,-27000000,51000000,1953000000,1696000000,1391000000,-12000000,194000000,194000000
2021-06-30,"Albemarle Corporation",ALK,0,528000000,397000000,41000000,246000000,-36000000,-36000000,-36000000,131000000,1527000000,1563000000,1281000000,564000000,397000000,397000000
2021-03-31,"Albemarle Corporation",ALK,0,-173000000,-131000000,33000000,-312000000,-573000000,-573000000,-29000000,-42000000,797000000,1370000000,1109000000,400000000,-131000000,-131000000
2020-12-31,"Albemarle Corporation",ALK,0,-643000000,-447000000,18000000,-213000000,-449000000,-449000000,-31000000,-196000000,808000000,1257000000,1021000000,-194000000,-447000000,-447000000
2021-09-30,"Alexandria Real Estate Equities",ARE,0,124433000,103147000,37931000,384855000,136082000,136082000,-35678000,0,550850000,414768000,165995000,-11649000,124433000,101264000
2021-06-30,"Alexandria Real Estate Equities",ARE,0,404520000,385084000,37880000,368273000,140341000,140341000,-35158000,0,512228000,371887000,143955000,264179000,404520000,380563000
2021-03-31,"Alexandria Real Estate Equities",ARE,0,25533000,8121000,33996000,345498000,130589000,130589000,-36467000,0,483386000,352797000,137888000,-105056000,25533000,7979000
2020-12-31,"Alexandria Real Estate Equities",ARE,0,457133000,441484000,32690000,330546000,120106000,120106000,-37538000,0,467313000,347207000,136767000,337027000,457133000,436620000
2021-09-30,"Align Technology",ALGN,65587000,261988000,180969000,428409000,755156000,261160000,261160000,0,81019000,1015906000,754746000,260750000,828000,180969000,180969000
2021-06-30,"Align Technology",ALGN,57715000,268802000,199714000,431921000,758538000,268902000,268902000,0,69088000,1010808000,741906000,252270000,-100000,199714000,199714000
2021-03-31,"Align Technology",ALGN,54537000,261621000,200376000,397115000,677098000,225446000,225446000,0,61245000,894771000,669325000,217673000,36175000,200376000,200376000
2020-12-31,"Align Technology",ALGN,48887000,214542000,158988000,348392000,610463000,213184000,213184000,0,55554000,834520000,621336000,224057000,1358000,158988000,158988000
2021-09-30,Allegion,ALLE,0,140800000,143500000,160000000,300500000,140500000,140500000,-12300000,-2800000,717000000,576500000,416500000,300000,143600000,143500000
2021-06-30,Allegion,ALLE,0,136200000,118700000,173100000,320500000,147400000,147400000,-12400000,17400000,746900000,599500000,426400000,-11200000,118800000,118700000
2021-03-31,Allegion,ALLE,0,122500000,108000000,164200000,297400000,133200000,133200000,-12300000,14300000,694300000,561100000,396900000,-10700000,108200000,108000000
2020-12-31,Allegion,ALLE,0,105800000,93300000,156600000,320700000,164100000,164100000,-12300000,12400000,727300000,563200000,406600000,-58300000,93400000,93300000
2021-09-30,"Alliant Energy",LNT,0,235000000,256000000,0,480000000,289000000,289000000,-71000000,-21000000,1024000000,735000000,544000000,-54000000,256000000,256000000
2021-06-30,"Alliant Energy",LNT,0,127000000,144000000,0,367000000,176000000,176000000,-71000000,-17000000,817000000,641000000,450000000,-49000000,144000000,144000000
2021-03-31,"Alliant Energy",LNT,0,143000000,171000000,0,388000000,198000000,198000000,-72000000,-28000000,901000000,703000000,513000000,-55000000,171000000,171000000
2020-12-31,"Alliant Energy",LNT,0,54000000,64000000,24000000,299000000,88000000,88000000,-70000000,-10000000,817000000,729000000,518000000,-34000000,64000000,64000000
2021-09-30,"Allstate Corp",ALL,0,226000000,538000000,1930000000,2357000000,318000000,318000000,-69000000,20000000,12480000000,12162000000,10123000000,-92000000,206000000,508000000
2021-06-30,"Allstate Corp",ALL,0,1797000000,1625000000,1549000000,3642000000,1988000000,1988000000,-91000000,362000000,12646000000,10658000000,9004000000,-191000000,1435000000,1595000000
2021-06-30,Amcor,AMCR,26000000,333000000,255000000,327000000,745000000,456000000,456000000,-40000000,74000000,3454000000,2998000000,2709000000,-123000000,259000000,254000000
2021-03-31,Amcor,AMCR,25000000,341000000,267000000,321000000,682000000,350000000,350000000,-36000000,71000000,3207000000,2857000000,2525000000,-9000000,270000000,267000000
2020-12-31,Amcor,AMCR,23000000,277000000,219000000,305000000,651000000,327000000,327000000,-37000000,55000000,3103000000,2776000000,2452000000,-50000000,222000000,219000000
2020-09-30,Amcor,AMCR,26000000,261000000,198000000,326000000,654000000,305000000,305000000,-44000000,61000000,3097000000,2792000000,2443000000,-44000000,200000000,198000000
2021-06-30,"Ameren Corp",AEE,0,239000000,207000000,-34000000,693000000,320000000,320000000,-96000000,31000000,1410000000,1090000000,717000000,-81000000,208000000,207000000
2021-03-31,"Ameren Corp",AEE,0,262000000,233000000,-34000000,725000000,350000000,350000000,-100000000,27000000,1496000000,1146000000,771000000,-88000000,235000000,233000000
2020-12-31,"Ameren Corp",AEE,0,137000000,115000000,-31000000,598000000,242000000,242000000,-108000000,21000000,1272000000,1030000000,674000000,-105000000,116000000,115000000
2020-09-30,"Ameren Corp",AEE,0,432000000,367000000,-32000000,895000000,526000000,526000000,-110000000,63000000,1557000000,1031000000,662000000,-94000000,369000000,367000000
2021-06-30,"American Airlines Group",AAL,0,9000000,19000000,277000000,787000000,-929000000,-929000000,-486000000,-10000000,7478000000,8407000000,6691000000,938000000,19000000,19000000
2021-06-30,"American Electric Power",AEP,0,635000000,578200000,-29700000,1871300000,839600000,839600000,-301600000,61200000,3826500000,2986900000,1955200000,-204600000,573800000,578200000
2021-03-31,"American Electric Power",AEP,0,633300000,575000000,-29600000,1853100000,839900000,839900000,-290200000,54500000,4281100000,3441200000,2428000000,-206600000,578800000,575000000
2020-12-31,"American Electric Power",AEP,0,417300000,435500000,-29800000,1575900000,600000000,600000000,-288300000,-17400000,3610600000,3010600000,2034700000,-182700000,434700000,435500000
2020-09-30,"American Electric Power",AEP,0,747000000,748600000,-29700000,1925500000,972900000,972900000,-291300000,-1200000,4066400000,3093500000,2140900000,-225900000,748200000,748600000
2021-06-30,"American International Group",AIG,0,147000000,99000000,2092000000,2662000000,570000000,570000000,-338000000,-3000000,10533000000,9963000000,7871000000,-423000000,150000000,91000000
2020-12-31,"American International Group",AIG,0,-558000000,-53000000,2054000000,1491000000,-563000000,-563000000,-358000000,-542000000,9332000000,9895000000,7841000000,5000000,-16000000,-60000000
2020-09-30,"American International Group",AIG,0,368000000,288000000,1891000000,2504000000,613000000,613000000,-379000000,74000000,9965000000,9352000000,7461000000,-245000000,294000000,281000000
2021-06-30,"American Tower",AMT,0,820700000,746300000,207200000,1651000000,887500000,887500000,-213700000,72800000,2298900000,1411400000,647900000,-66800000,747900000,746300000
2021-03-31,"American Tower",AMT,0,702600000,645000000,182600000,1584200000,875900000,875900000,-207000000,50300000,2158500000,1282600000,574300000,-173300000,652300000,645000000
2020-12-31,"American Tower",AMT,0,419700000,365100000,196300000,1549900000,859800000,859800000,-196100000,58100000,2122500000,1262700000,572600000,-440100000,361600000,365100000
2020-09-30,"American Tower",AMT,0,502200000,464400000,176000000,1450300000,802700000,802700000,-190900000,39300000,2012900000,1210200000,562600000,-300500000,462900000,464400000
2021-06-30,"American Water Works",AWK,0,251000000,207000000,-19000000,568000000,349000000,349000000,-101000000,44000000,999000000,650000000,431000000,-98000000,207000000,207000000
2021-03-31,"American Water Works",AWK,0,155000000,133000000,-20000000,469000000,249000000,249000000,-98000000,22000000,888000000,639000000,419000000,-94000000,133000000,133000000
2020-12-31,"American Water Works",AWK,0,181000000,145000000,-12000000,494000000,275000000,275000000,-99000000,36000000,923000000,648000000,429000000,-94000000,145000000,145000000
2020-09-30,"American Water Works",AWK,0,352000000,264000000,-12000000,660000000,445000000,445000000,-99000000,88000000,1079000000,634000000,419000000,-93000000,264000000,264000000
2021-06-30,"Ameriprise Financial",AMP,0,721000000,591000000,823000000,1720000000,897000000,897000000,-169000000,130000000,3420000000,2523000000,1700000000,-176000000,591000000,591000000
2021-03-31,"Ameriprise Financial",AMP,0,493000000,437000000,823000000,1522000000,699000000,699000000,-206000000,56000000,3355000000,2656000000,1833000000,-206000000,437000000,437000000
2020-12-31,"Ameriprise Financial",AMP,0,190000000,177000000,828000000,1183000000,355000000,355000000,-165000000,13000000,3189000000,2834000000,2006000000,-165000000,177000000,177000000
2020-09-30,"Ameriprise Financial",AMP,0,-184000000,-140000000,762000000,796000000,34000000,34000000,-217000000,-44000000,3013000000,2979000000,2217000000,-218000000,-140000000,-140000000
2021-06-30,AmerisourceBergen,ABC,0,573530000,292122000,913414000,1888206000,847691000,847691000,-53011000,278082000,53405695000,52558004000,51517489000,-274161000,295448000,292122000
2021-03-31,AmerisourceBergen,ABC,0,566511000,435267000,730081000,1533381000,702503000,702503000,-35184000,132506000,49154171000,48451668000,47620790000,-135992000,434005000,435267000
2020-12-31,AmerisourceBergen,ABC,0,527882000,374845000,735068000,1452230000,617609000,617609000,-34578000,149175000,52516556000,51898947000,51064326000,-89727000,378707000,374845000
2021-06-30,Ametek,AME,0,291755000,231679000,157023000,473634000,316611000,316611000,-20442000,60076000,1386346000,1069735000,912712000,-24856000,231679000,231679000
2021-03-31,Ametek,AME,0,272456000,219233000,138440000,426350000,287910000,287910000,-18947000,53223000,1215742000,927832000,789392000,-15454000,219233000,219233000
2020-12-31,Ametek,AME,0,276707000,221025000,135844000,428979000,293135000,293135000,-19465000,55682000,1198947000,905812000,769968000,-16428000,221025000,221025000
2020-09-30,Ametek,AME,0,248075000,204581000,128482000,394237000,265755000,265755000,-21187000,43494000,1126942000,861187000,732705000,-17680000,204581000,204581000
2021-03-31,Amgen,AMGN,967000000,1857000000,1646000000,1254000000,4411000000,2129000000,2129000000,-285000000,211000000,5901000000,3772000000,1490000000,-272000000,1646000000,1646000000
2020-12-31,Amgen,AMGN,1229000000,1877000000,1615000000,1773000000,5037000000,2035000000,2035000000,-94000000,262000000,6634000000,4599000000,1597000000,-158000000,1615000000,1615000000
2021-03-31,Amphenol,APH,0,435900000,329600000,262700000,727500000,464800000,464800000,-28600000,104100000,2377100000,1912300000,1649600000,-28900000,331800000,329600000
2020-12-31,Amphenol,APH,260700000,460200000,357000000,11900000,765600000,493000000,493000000,-28300000,100000000,2426000000,1933000000,1660400000,-32800000,360200000,357000000
2020-09-30,Amphenol,APH,260700000,448800000,346600000,259100000,734900000,475800000,475800000,-28000000,99300000,2323400000,1847600000,1588500000,-27000000,349500000,346600000
2020-06-30,Amphenol,APH,260700000,328500000,257700000,246400000,603800000,357400000,357400000,-30200000,68000000,1987500000,1630100000,1383700000,-28900000,260500000,257700000
2021-07-31,"Analog Devices",ADI,306617000,572278000,503311000,187776000,1221184000,619008000,619008000,-44659000,68967000,1758853000,1139845000,537669000,-46730000,503311000,503311000
2021-05-01,"Analog Devices",ADI,302238000,475985000,422905000,183612000,1136637000,543001000,543001000,-43066000,53080000,1661407000,1118406000,524770000,-67016000,422905000,422905000
2021-01-30,"Analog Devices",ADI,288150000,436618000,388519000,170075000,1045371000,479498000,479498000,-42479000,48099000,1558458000,1078960000,513087000,-42880000,388519000,388519000
2020-10-31,"Analog Devices",ADI,280239000,417310000,386526000,146219000,1023084000,488619000,488619000,-48593000,30784000,1526295000,1037676000,503211000,-71309000,386526000,386526000
2021-06-30,Ansys,ANSS,100879000,128860000,93716000,159089000,397521000,118094000,118094000,-3336000,35144000,446654000,328560000,49133000,10766000,93716000,93716000
2021-03-31,Ansys,ANSS,100479000,47623000,72398000,144245000,316072000,51992000,51992000,-3315000,-24775000,363226000,311234000,47154000,-4369000,72398000,72398000
2020-12-31,Ansys,ANSS,96510000,257872000,215632000,193524000,567198000,261712000,261712000,-2444000,42240000,623686000,361974000,56488000,-3840000,215632000,215632000
2020-09-30,Ansys,ANSS,86616000,90144000,75627000,131093000,323491000,91634000,91634000,-1853000,14517000,366965000,275331000,43474000,-1490000,75627000,75627000
2021-06-30,Aon,AON,0,596000000,379000000,471000000,1266000000,718000000,718000000,-78000000,203000000,2886000000,2168000000,1620000000,-122000000,393000000,379000000
2021-03-31,Aon,AON,0,1167000000,913000000,445000000,1812000000,1286000000,1286000000,-79000000,234000000,3525000000,2239000000,1713000000,-119000000,933000000,913000000
2020-12-31,Aon,AON,0,626000000,524000000,504000000,1333000000,745000000,745000000,-82000000,92000000,2965000000,2220000000,1632000000,-119000000,534000000,524000000
2020-09-30,Aon,AON,0,363000000,275000000,422000000,1002000000,488000000,488000000,-80000000,82000000,2385000000,1897000000,1383000000,-125000000,281000000,275000000
2021-06-30,"APA Corporation",APA,0,495000000,316000000,86000000,1196000000,510000000,510000000,-111000000,87000000,1830000000,1320000000,634000000,-15000000,408000000,316000000
2021-03-31,"APA Corporation",APA,0,620000000,388000000,83000000,1116000000,745000000,745000000,-112000000,170000000,1932000000,1187000000,816000000,-125000000,450000000,388000000
2020-09-30,"APA Corporation",APA,0,72000000,-4000000,52000000,732000000,179000000,179000000,-112000000,31000000,1129000000,950000000,397000000,-107000000,41000000,-4000000
2021-08-01,"Applied Materials",AMAT,640000000,1980000000,1716000000,309000000,2967000000,2018000000,2018000000,-57000000,264000000,6196000000,4178000000,3229000000,-38000000,1716000000,1716000000
2021-05-02,"Applied Materials",AMAT,617000000,1545000000,1330000000,285000000,2653000000,1751000000,1751000000,-61000000,215000000,5582000000,3831000000,2929000000,-206000000,1330000000,1330000000
2021-01-31,"Applied Materials",AMAT,606000000,1240000000,1130000000,284000000,2361000000,1471000000,1471000000,-61000000,110000000,5162000000,3691000000,2801000000,-231000000,1130000000,1130000000
2020-10-25,"Applied Materials",AMAT,560000000,1243000000,1131000000,261000000,2130000000,1309000000,1309000000,-59000000,112000000,4688000000,3379000000,2558000000,-66000000,1131000000,1131000000
2021-06-30,Aptiv,APTV,0,194000000,163000000,275000000,602000000,290000000,290000000,-38000000,28000000,3807000000,3517000000,3205000000,-96000000,166000000,147000000
2021-03-31,Aptiv,APTV,0,348000000,295000000,260000000,727000000,430000000,430000000,-40000000,48000000,4023000000,3593000000,3296000000,-82000000,300000000,279000000
2020-12-31,Aptiv,APTV,0,370000000,299000000,309000000,812000000,466000000,466000000,-39000000,55000000,4212000000,3746000000,3400000000,-96000000,315000000,283000000
2020-09-30,Aptiv,APTV,0,303000000,299000000,262000000,674000000,376000000,376000000,-38000000,-2000000,3668000000,3292000000,2994000000,-73000000,305000000,283000000
2021-06-30,"Arista Networks",ANET,143293000,221084000,196888000,91520000,454178000,219365000,219365000,0,24196000,707319000,487954000,253141000,1719000,196888000,196888000
2021-03-31,"Arista Networks",ANET,132487000,207867000,180366000,86493000,425272000,206292000,206292000,0,27501000,667562000,461270000,242290000,1575000,180366000,180366000
2020-12-31,"Arista Networks",ANET,141147000,200180000,182958000,84099000,414584000,189338000,189338000,0,17222000,648482000,459144000,233898000,10842000,182958000,182958000
2020-09-30,"Arista Networks",ANET,128049000,201619000,168375000,68518000,384962000,188395000,188395000,0,33244000,605431000,417036000,220469000,13224000,168375000,168375000
2021-06-30,"Arthur J. Gallagher & Co.",AJG,0,222300000,190200000,237600000,686900000,304100000,304100000,-56200000,20500000,1878100000,1574000000,1191200000,-81800000,201800000,190200000
2021-03-31,"Arthur J. Gallagher & Co.",AJG,0,408400000,382100000,228600000,841300000,469400000,469400000,-48100000,14700000,2111400000,1642000000,1270100000,-61000000,393700000,382100000
2020-12-31,"Arthur J. Gallagher & Co.",AJG,0,133700000,142200000,220800000,569600000,267000000,267000000,-47800000,-19400000,1651300000,1384300000,1081700000,-133300000,153100000,142200000
2020-09-30,"Arthur J. Gallagher & Co.",AJG,0,209500000,176600000,197400000,614100000,282800000,282800000,-48100000,21700000,1785700000,1502900000,1171600000,-73300000,187800000,176600000
2021-06-30,Assurant,AIZ,0,236600000,203400000,0,301400000,265400000,265400000,-28800000,51900000,2542300000,2276900000,2240900000,-28800000,184700000,203400000
2021-03-31,Assurant,AIZ,0,193100000,163000000,1682400000,261200000,221500000,221500000,-28400000,44600000,2432600000,2211100000,2171400000,-28400000,148500000,158300000
2020-12-31,Assurant,AIZ,0,183400000,139200000,1682400000,329400000,229500000,229500000,-26800000,44400000,2555100000,2325600000,2225700000,-46100000,139000000,134500000
2020-09-30,Assurant,AIZ,0,-4100000,-30200000,1682400000,194500000,165300000,165300000,-25500000,26400000,2502500000,2337200000,2308000000,-169400000,-30500000,-34900000
2021-06-30,"Atmos Energy",ATO,0,118315000,102411000,10133000,334213000,123257000,123257000,-20962000,15904000,605553000,482296000,271340000,-4942000,102411000,102341000
2021-03-31,"Atmos Energy",ATO,0,358542000,296754000,1252000,588889000,380552000,380552000,-26096000,61788000,1319073000,938521000,730184000,-22010000,296754000,296555000
2020-12-31,"Atmos Energy",ATO,0,282902000,217678000,1253000,487577000,297587000,297587000,-22010000,65224000,914480000,616893000,426903000,-14685000,217678000,217527000
2020-09-30,"Atmos Energy",ATO,0,83389000,65333000,-1866000,276811000,102711000,102711000,-15494000,18056000,474914000,372203000,198103000,-19322000,65333000,65297000
2021-07-31,Autodesk,ADSK,267800000,138800000,115600000,522700000,968100000,152900000,152900000,-12800000,23200000,1059700000,906800000,91600000,-14100000,115600000,115600000
2021-04-30,Autodesk,ADSK,255800000,131400000,155600000,487000000,906900000,145700000,145700000,-10600000,-24200000,989300000,843600000,82400000,-14300000,155600000,155600000
2021-01-31,Autodesk,ADSK,244000000,171100000,911300000,501600000,957300000,194500000,194500000,-6200000,-740200000,1039200000,844700000,81900000,-23400000,911300000,911300000
